country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,62718,2713.0,54503,5502,1124.0,1581,68.0,425056.0,10713.0,39676986
Albania,Europe,131803,2420.0,119061,10322,18.0,45843,842.0,657917.0,228833.0,2875093
Algeria,Africa,124483,3343.0,86703,34437,28.0,2796,75.0,230861.0,5185.0,44528314
Andorra,Europe,13447,127.0,13070,250,12.0,173799,1641.0,193595.0,2502165.0,77371
Angola,Africa,29146,639.0,25145,3362,20.0,864,19.0,527590.0,15639.0,33736498
Anguilla,North America,109,,89,20,,7210,,21630.0,1430745.0,15118
Antigua And Barbuda,North America,1238,32.0,1178,28,4.0,12553,324.0,16700.0,169328.0,98625
Argentina,South America,3191097,68311.0,2854364,268422,5375.0,70055,1500.0,11983959.0,263085.0,45551588
Armenia,Asia,219596,4256.0,205675,9665,,73988,1434.0,1019359.0,343449.0,2968005
Aruba,North America,10795,104.0,10596,95,14.0,100741,971.0,154991.0,1446405.0,107156
Australia,Australia/Oceania,29946,910.0,28815,221,1.0,1163,35.0,17346790.0,673570.0,25753517
Austria,Europe,632766,10413.0,607712,14641,366.0,69915,1151.0,35003230.0,3867532.0,9050535
Azerbaijan,Asia,327601,4713.0,308317,14571,,32062,461.0,3346012.0,327476.0,10217588
Bahamas,North America,10908,214.0,9854,840,5.0,27513,540.0,90693.0,228753.0,396467
Bahrain,Asia,192750,697.0,177212,14841,142.0,110027,398.0,4273842.0,2439616.0,1751850
Bangladesh,Asia,776257,12005.0,715321,48931,1117.0,4674,72.0,5661926.0,34088.0,166096704
Barbados,North America,3950,45.0,3870,35,,13731,156.0,159886.0,555781.0,287678
Belarus,Europe,370509,2652.0,360916,6941,,39221,281.0,6015054.0,636739.0,9446649
Belgium,Europe,1020332,24609.0,888546,107177,710.0,87710,2115.0,13061760.0,1122823.0,11632963
Belize,North America,12704,323.0,12307,74,1.0,31461,800.0,122702.0,303867.0,403802
Benin,Africa,7995,101.0,7652,242,35.0,645,8.0,595112.0,48016.0,12393984
Bermuda,North America,2455,31.0,2182,242,14.0,39546,499.0,250225.0,4030686.0,62080
Bhutan,Asia,1247,1.0,1101,145,,1601,1.0,731572.0,939246.0,778893
Bolivia,South America,320209,13258.0,262970,43981,158.0,27115,1123.0,1255636.0,106325.0,11809425
Bosnia And Herzegovina,Europe,201512,8912.0,166887,25713,,61752,2731.0,932033.0,285617.0,3263232
Botswana,Africa,49041,751.0,46290,2000,1.0,20500,314.0,1086267.0,454086.0,2392207
Brazil,South America,15285048,425711.0,13847191,1012146,8318.0,71473,1991.0,46834128.0,218998.0,213856608
British Virgin Islands,North America,219,1.0,193,25,,7203,33.0,39777.0,1308282.0,30404
Brunei Darussalam,Asia,230,3.0,218,9,,521,7.0,122292.0,277261.0,441072
Bulgaria,Europe,412157,17104.0,353619,41434,535.0,59704,2478.0,2620183.0,379552.0,6903351
Burkina Faso,Africa,13384,164.0,13180,40,,626,8.0,182551.0,8534.0,21391839
Burundi,Africa,4208,6.0,773,3429,,345,,279132.0,22894.0,12192376
Cabo Verde,Africa,26709,236.0,23692,2781,23.0,47596,421.0,155650.0,277369.0,561165
Cambodia,Asia,20695,136.0,8539,12020,,1223,8.0,1018022.0,60177.0,16917166
Cameroon,Africa,74946,1152.0,70497,3297,385.0,2765,42.0,1518411.0,56010.0,27109628
Canada,North America,1299572,24714.0,1196819,78039,1331.0,34176,650.0,32867352.0,864337.0,38026101
Caribbean Netherlands,North America,1583,17.0,1548,18,,59890,643.0,10040.0,379843.0,26432
Cayman Islands,North America,548,2.0,537,9,,8255,30.0,91940.0,1384972.0,66384
Central African Republic,Africa,6674,93.0,5112,1469,2.0,1362,19.0,40907.0,8346.0,4901608
Chad,Africa,4888,172.0,4661,55,,290,10.0,115822.0,6883.0,16827427
Channel Islands,Europe,4057,86.0,3956,15,,23151,491.0,454413.0,2593119.0,175238
Chile,South America,1256546,27356.0,1193927,35263,3102.0,65251,1421.0,13660902.0,709399.0,19257010
China Hong Kong Sar,Asia,11813,210.0,11503,100,3.0,1565,28.0,14841321.0,1965951.0,7549182
China Macao Sar,Asia,49,,49,0,,75,,4483.0,6824.0,656918
China,Asia,90799,4636.0,85861,302,,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,3031726,78771.0,2848153,104802,6582.0,59043,1534.0,15564899.0,303126.0,51347964
Comoros,Africa,3860,146.0,3688,26,,4359,165.0,,,885426
Congo,Africa,11343,148.0,8208,2987,,2013,26.0,92500.0,16418.0,5633978
Costa Rica,North America,273714,3456.0,216191,54067,459.0,53314,673.0,1064094.0,207263.0,5134028
Cote D Ivoire,Africa,46484,292.0,45910,282,,1726,11.0,608960.0,22608.0,26935594
Croatia,Europe,345623,7549.0,330329,7745,217.0,84640,1849.0,1890133.0,462877.0,4083449
Cuba,North America,118168,755.0,111325,6088,131.0,10438,67.0,3879873.0,342725.0,11320667
Curacao,North America,12236,117.0,11992,127,22.0,74306,711.0,101029.0,613524.0,164670
Cyprus,Asia,70098,339.0,39061,30698,57.0,57698,279.0,5511355.0,4536453.0,1214904
Czech Republic,Europe,1646981,29749.0,1583590,33642,349.0,153549,2774.0,20283907.0,1891086.0,10726065
Democratic Republic Of The Congo,Africa,30392,775.0,26434,3183,,331,8.0,152999.0,1665.0,91879676
Denmark,Europe,260913,2499.0,246903,11511,32.0,44910,430.0,43813889.0,7541463.0,5809733
Djibouti,Africa,11369,151.0,11182,36,,11366,151.0,152660.0,152614.0,1000304
Dominica,North America,175,,175,0,,2426,,15546.0,215498.0,72140
Dominican Republic,North America,272809,3550.0,232325,36934,228.0,24934,324.0,1452665.0,132770.0,10941214
Ecuador,South America,402595,19286.0,342878,40431,616.0,22526,1079.0,1343901.0,75194.0,17872435
Egypt,Africa,239740,14033.0,178241,47466,90.0,2306,135.0,2715258.0,26112.0,103984787
El Salvador,North America,70380,2164.0,65921,2295,28.0,10804,332.0,936793.0,143805.0,6514320
Equatorial Guinea,Africa,7694,112.0,7279,303,7.0,5335,78.0,123169.0,85404.0,1442193
Eritrea,Africa,3818,12.0,3627,179,,1064,3.0,23693.0,6603.0,3588465
Estonia,Europe,125696,1206.0,116648,7842,41.0,94700,909.0,1337225.0,1007476.0,1327302
Ethiopia,Africa,263672,3911.0,212567,47194,694.0,2246,33.0,2628952.0,22394.0,117393244
Faeroe Islands,Europe,669,1.0,662,6,,13647,20.0,257843.0,5259633.0,49023
Falkland Islands Malvinas,South America,63,,63,0,,17667,,7258.0,2035334.0,3566
Fiji,Australia/Oceania,152,3.0,101,48,,169,3.0,66605.0,73840.0,902022
Finland,Europe,88990,927.0,46000,42063,26.0,16040,167.0,4679035.0,843355.0,5548122
France,Europe,5800170,106935.0,4951745,741490,4743.0,88691,1635.0,79617249.0,1217432.0,65397697
